iteration,energy_mean,energy_std,energy_error,acceptance_rate,gradient_norm
1.0,0.5014914178272785,0.021889419704412674,0.00034610211462656864,0.7314,0.03770405868980642
2.0,0.5015943639357566,0.020709088221733247,0.0003274394352302158,0.73125,0.036363320627569265
3.0,0.49967631737716867,0.019050008951904073,0.0003012070886730695,0.71825,0.033017069236751656
4.0,0.5002139661461875,0.003838717332514511,6.0695450321558954e-05,0.72825,0.0066884174368155355
5.0,0.49985979042599654,0.011181760192988574,0.00017679915229823918,0.727,0.01942859246733197
6.0,0.498993351530531,0.016547054278410366,0.0002616319004310535,0.72675,0.028961652719116483
7.0,0.5011767759887702,0.011520522565740092,0.00018215545571552796,0.72475,0.019735156408235068
8.0,0.4998968080834276,0.002016990806952986,3.18914248479621e-05,0.729,0.0034659055909235167
9.0,0.5009018953156954,0.007089062042671717,0.00011208791264544195,0.726,0.011838704009353874
10.0,0.4998534805306352,0.01186962766367096,0.00018767529197671637,0.734,0.019731984736094197
11.0,0.5003405442881933,0.011114395365484914,0.00017573402085275958,0.7355,0.018423679209771584
12.0,0.5002753562467592,0.006307997103127626,9.973819159813673e-05,0.73125,0.010796736519846828
13.0,0.5000296981679309,0.0008843179276076215,1.3982294134799898e-05,0.72875,0.0014730234622576752
14.0,0.499522656157582,0.006701435087470276,0.00010595899234087892,0.72275,0.010931312049439888
15.0,0.5005032923878348,0.00927581448017489,0.0001466635045526171,0.72925,0.014911104199962763
16.0,0.49996474356528464,0.00855575069924843,0.00013527829651101652,0.73575,0.014157495893796283
17.0,0.4997041454614606,0.004424369150119247,6.995541861880126e-05,0.73225,0.007275759992781866
18.0,0.5000420550825935,0.0009193201157629283,1.4535727323102582e-05,0.729,0.0015492928178057889
19.0,0.4997957395680264,0.005390365306457753,8.522915894379016e-05,0.728,0.008915360354390877
20.0,0.5006306970228522,0.007158428438590589,0.00011318469166634516,0.718,0.011455652755260589
21.0,0.49994831504295417,0.006375803028021757,0.00010081029740573556,0.727,0.010218420001429085
22.0,0.5000622534215429,0.003370163089932827,5.328695725209308e-05,0.7245,0.005369585308297865
23.0,0.5000131431065518,0.00052029234988429,8.226544373978003e-06,0.73475,0.0008266031335145763
24.0,0.5002251887433877,0.0039519101950940255,6.248518662468749e-05,0.734,0.0064176588875156084
25.0,0.49978784793368874,0.0054378436409803395,8.597985732680404e-05,0.74275,0.008648047909886675
26.0,0.4999544712581339,0.004983659789804554,7.879858009589191e-05,0.726,0.00806014457502561
27.0,0.5001304461624838,0.0026646775966831697,4.213225217771177e-05,0.728,0.0044110308483453885
28.0,0.49998423860569835,0.000580934097730309,9.185374596413151e-06,0.741,0.0009085996747469045
29.0,0.5002705428263114,0.0032867102432107423,5.196745188775956e-05,0.71875,0.005295989159974078
30.0,0.4995991172659895,0.004469071548348277,7.066222559517933e-05,0.7205,0.00721680769093007
31.0,0.4999432182413442,0.0037865879562003885,5.987121251077565e-05,0.72775,0.006100823980256399
32.0,0.5000382670836445,0.0017404545190181505,2.7519002220150996e-05,0.73175,0.0028827722524913694
33.0,0.5000092269397414,0.0009160269065071013,1.4483657112802775e-05,0.75175,0.001469566710432201
34.0,0.4999741221616632,0.0028736031822388553,4.543565573691348e-05,0.736,0.0045295313848148205
35.0,0.5000235898519794,0.0035892020100329936,5.67502666707939e-05,0.73225,0.005719549403992647
36.0,0.5003592918623078,0.002972233767725417,4.699514222238089e-05,0.71775,0.005062349960670859
37.0,0.49997129119978817,0.0007616432278058033,1.2042636821544138e-05,0.743,0.0012215803474162625
38.0,0.49994293713681204,0.001396446394826558,2.2079756189913482e-05,0.72675,0.002241692933901427
39.0,0.5000443127622803,0.0027889143102777926,4.409660709757684e-05,0.737,0.004485447913623102
40.0,0.5001174872440105,0.0029456773936097753,4.6575249079376055e-05,0.72925,0.004862149636871353
41.0,0.5000673241013299,0.0015636573281999782,2.4723593185626836e-05,0.72575,0.00238081605571276
42.0,0.5000002156148713,9.380531970417743e-05,1.4831923345273648e-06,0.72475,0.00014575213550524152
43.0,0.4999815121205952,0.0016504168330142258,2.6095381405033665e-05,0.73,0.002668945753940027
44.0,0.49995890910346497,0.002370536146633193,3.7481467495598896e-05,0.70975,0.0039044094307061432
45.0,0.4998908033463286,0.0018410349087907693,2.9109317818295897e-05,0.7305,0.0029462352838589786
46.0,0.4999933565595853,0.0006157835750413537,9.736393214259459e-06,0.71925,0.0009973079574701177
47.0,0.4999592524149669,0.000840745723921221,1.3293357103190845e-05,0.722,0.0014161089874718384
